"displayName","rating","userRatingCount","primaryType","placeUri","address","latitude","longitude","weekdayDescriptions"
"Café Jansen Schinkel","4.5","143","coffee_shop","https://maps.google.com/?cid=9253934264954475672&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Valschermkade 19, 1059 CD Amsterdam, Netherlands","52.342071999999995","4.845875700000001","Monday: 8:00 AM - 8:00 PM
Tuesday: 8:00 AM - 8:00 PM
Wednesday: 8:00 AM - 8:00 PM
Thursday: 8:00 AM - 8:00 PM
Friday: 8:00 AM - 8:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 9:00 AM - 5:00 PM"
"The Block Coffee","4.5","235","coffee_shop","https://maps.google.com/?cid=9179744765711454160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Gaasterlandstraat 401, 1079 RH Amsterdam, Netherlands","52.33764250000001","4.8934371","Monday: 8:00 AM - 8:00 PM
Tuesday: 8:00 AM - 8:00 PM
Wednesday: 8:00 AM - 8:00 PM
Thursday: 8:00 AM - 8:00 PM
Friday: 8:00 AM - 8:00 PM
Saturday: 9:00 AM - 8:00 PM
Sunday: 9:00 AM - 8:00 PM"
"Cafecito Overtoom | Specialty Coffee & Matcha","4.5","171","coffee_shop","https://maps.google.com/?cid=4238626160019824377&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Overtoom 429, 1054 KE Amsterdam, Netherlands","52.358930799999996","4.8606317","Monday: 7:30 AM - 8:00 PM
Tuesday: 7:30 AM - 8:00 PM
Wednesday: 7:30 AM - 8:00 PM
Thursday: 7:30 AM - 8:00 PM
Friday: 7:30 AM - 9:00 PM
Saturday: 8:30 AM - 9:00 PM
Sunday: 8:30 AM - 9:00 PM"
"Coffeeshopamsterdam Café","4.6","1066","coffee_shop","https://maps.google.com/?cid=515847854484118816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Singel 8, 1013 GA Amsterdam, Netherlands","52.379163999999996","4.893925299999999","Monday: 10:00 AM - 1:00 AM
Tuesday: 10:00 AM - 1:00 AM
Wednesday: 10:00 AM - 1:00 AM
Thursday: 10:00 AM - 1:00 AM
Friday: 10:00 AM - 1:00 AM
Saturday: 10:00 AM - 1:00 AM
Sunday: 10:00 AM - 1:00 AM"
"Cafecito","4.4","483","coffee_shop","https://maps.google.com/?cid=17227965688056932035&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Van Baerlestraat 83, 1071 AS Amsterdam, Netherlands","52.3542065","4.8816198","Monday: 7:00 AM - 9:00 PM
Tuesday: 7:00 AM - 9:00 PM
Wednesday: 7:00 AM - 9:00 PM
Thursday: 7:00 AM - 9:00 PM
Friday: 7:00 AM - 10:00 PM
Saturday: 8:00 AM - 10:00 PM
Sunday: 8:00 AM - 10:00 PM"
"Artista - Coffee & Brunch","4.6","210","restaurant","https://maps.google.com/?cid=17550182011760793828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Nieuwezijds Kolk 12, 1012 PV Amsterdam, Netherlands","52.3763492","4.8947921","Monday: 9:00 AM - 10:00 PM
Tuesday: 9:00 AM - 10:00 PM
Wednesday: 9:00 AM - 10:00 PM
Thursday: 9:00 AM - 10:00 PM
Friday: 9:00 AM - 10:00 PM
Saturday: 9:00 AM - 10:00 PM
Sunday: 9:00 AM - 10:00 PM"
"Coffee & Cakes","4.6","1132","coffee_shop","https://maps.google.com/?cid=9808674227877766445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Warmoesstraat 133, 1012 JB Amsterdam, Netherlands","52.3738628","4.896120799999999","Monday: 8:00 AM - 10:00 PM
Tuesday: 8:00 AM - 10:00 PM
Wednesday: 8:00 AM - 10:00 PM
Thursday: 8:00 AM - 10:00 PM
Friday: 8:00 AM - 10:00 PM
Saturday: 8:00 AM - 10:00 PM
Sunday: 8:00 AM - 10:00 PM"
"Kafenion Amsterdam","4.9","3016","cafe","https://maps.google.com/?cid=13799867098777125081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Bloemgracht 49, 1016 KD Amsterdam, Netherlands","52.374677","4.8813721999999995","Monday: 8:00 AM - 7:00 PM
Tuesday: 8:00 AM - 7:00 PM
Wednesday: 8:00 AM - 7:00 PM
Thursday: 8:00 AM - 7:00 PM
Friday: 8:00 AM - 7:00 PM
Saturday: 9:00 AM - 7:30 PM
Sunday: 9:00 AM - 7:30 PM"
"Café Magari • Coffee • Matcha • Cake • Wi-Fi","4.8","414","coffee_shop","https://maps.google.com/?cid=16159108078698918581&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Singel 379A, 1012 WL Amsterdam, Netherlands","52.3689865","4.8883166","Monday: 8:00 AM - 9:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 9:00 PM
Thursday: 8:00 AM - 9:00 PM
Friday: 8:00 AM - 9:00 PM
Saturday: 9:00 AM - 9:00 PM
Sunday: 9:00 AM - 9:00 PM"
"The Rookies Coffeeshop","4.6","2875","store","https://maps.google.com/?cid=16958853103162366491&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Korte Leidsedwarsstraat 145-147, 1017 PZ Amsterdam, Netherlands","52.362981999999995","4.8853089999999995","Monday: 8:30 AM - 1:00 AM
Tuesday: 8:30 AM - 1:00 AM
Wednesday: 8:30 AM - 1:00 AM
Thursday: 8:30 AM - 1:00 AM
Friday: 8:30 AM - 1:00 AM
Saturday: 8:30 AM - 1:00 AM
Sunday: 8:30 AM - 1:00 AM"
