displayName,rating,userRatingCount,primaryType,placeUri,address,latitude,longitude,weekdayDescriptions,5,4,3,2,1
Coffee District Buitenveldert,4.7,156,coffee_shop,https://maps.google.com/?cid=9468763895476653539&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Buitenveldertselaan 98, 1081 AB Amsterdam, Netherlands",52.3271221,4.868344899999999,"Monday: 7:30 AM - 4:30 PM
Tuesday: 7:30 AM - 4:30 PM
Wednesday: 7:30 AM - 4:30 PM
Thursday: 7:30 AM - 4:30 PM
Friday: 7:30 AM - 4:30 PM
Saturday: 8:00 AM - 5:00 PM
Sunday: 8:00 AM - 5:00 PM",129.0,14.0,9.0,1.0,3.0
BLCK. Coffee and The Masters,4.6,323,coffee_shop,https://maps.google.com/?cid=12299995865173639631&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Claude Debussylaan 269, 1082 MC Amsterdam, Netherlands",52.3371896,4.869553499999999,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 9:00 AM - 5:00 PM",239.0,49.0,21.0,9.0,5.0
Doppio Espresso Amsterdam VU,4.5,191,coffee_shop,https://maps.google.com/?cid=4604453209821164035&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Doppio Espresso, De Boelelaan 1105, 1081 HV Amsterdam, Netherlands",52.3339764,4.8659922,"Monday: 8:00 AM - 4:00 PM
Tuesday: 8:00 AM - 4:00 PM
Wednesday: 8:00 AM - 4:00 PM
Thursday: 8:00 AM - 4:00 PM
Friday: 8:00 AM - 4:00 PM
Saturday: Closed
Sunday: Closed",151.0,19.0,4.0,5.0,12.0
Noi Coffee and Eatery,4.9,132,cafe,https://maps.google.com/?cid=825279035724126912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Jan Evertsenstraat 123, 1057 BT Amsterdam, Netherlands",52.3701752,4.8518884,"Monday: 7:30 AM - 5:00 PM
Tuesday: 7:30 AM - 5:00 PM
Wednesday: 7:30 AM - 5:00 PM
Thursday: 7:30 AM - 5:00 PM
Friday: 7:30 AM - 5:00 PM
Saturday: 8:00 AM - 5:00 PM
Sunday: 8:00 AM - 5:00 PM",127.0,3.0,1.0,1.0,0.0
The Coffee,4.7,83,coffee_shop,https://maps.google.com/?cid=357014870337086946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Eerste Constantijn Huygensstraat 33, 1054 BR Amsterdam, Netherlands",52.3643064,4.8744765,"Monday: 8:00 AM - 5:00 PM
Tuesday: 8:00 AM - 5:00 PM
Wednesday: 8:00 AM - 5:00 PM
Thursday: 8:00 AM - 5:00 PM
Friday: 8:00 AM - 5:00 PM
Saturday: 9:00 AM - 5:30 PM
Sunday: 9:00 AM - 5:30 PM",72.0,5.0,0.0,5.0,1.0
Pipes & Beans,4.7,464,coffee_shop,https://maps.google.com/?cid=14357824889789475375&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Rietwijkerstraat 35, 1059 VW Amsterdam, Netherlands",52.3491997,4.8490894,"Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: 8:30 AM - 5:00 PM
Sunday: 8:30 AM - 5:00 PM",381.0,45.0,21.0,4.0,13.0
Coffee District,4.6,127,food_store,https://maps.google.com/?cid=17888741772033861583&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Olympiaplein 111, 1077 CV Amsterdam, Netherlands",52.3463448,4.868172599999999,"Monday: 7:30 AM - 4:30 PM
Tuesday: 7:30 AM - 4:30 PM
Wednesday: 7:30 AM - 4:30 PM
Thursday: 7:30 AM - 4:30 PM
Friday: 7:30 AM - 4:30 PM
Saturday: 8:00 AM - 5:00 PM
Sunday: 8:00 AM - 5:00 PM",106.0,9.0,2.0,4.0,6.0
Kafenion Amsterdam,4.9,3020,cafe,https://maps.google.com/?cid=13799867098777125081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Bloemgracht 49, 1016 KD Amsterdam, Netherlands",52.374677,4.8813722,"Monday: 8:00 AM - 7:00 PM
Tuesday: 8:00 AM - 7:00 PM
Wednesday: 8:00 AM - 7:00 PM
Thursday: 8:00 AM - 7:00 PM
Friday: 8:00 AM - 7:00 PM
Saturday: 9:00 AM - 7:30 PM
Sunday: 9:00 AM - 7:30 PM",2772.0,148.0,39.0,32.0,29.0
Buno Coffee Hoofddorpplein,4.7,395,coffee_shop,https://maps.google.com/?cid=5196363899598440511&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Hoofddorpplein 6H, 1058 PD Amsterdam, Netherlands",52.3513152,4.850585199999999,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",309.0,60.0,11.0,11.0,4.0
CoffeeConcepts Schinkel,4.5,11,coffee_shop,https://maps.google.com/?cid=808465750851793138&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,"Valschermkade 37A, 1059 CD Amsterdam, Netherlands",52.3405925,4.8454678,"Monday: 8:30 AM - 3:00 PM
Tuesday: 8:30 AM - 3:00 PM
Wednesday: 8:30 AM - 3:00 PM
Thursday: 8:30 AM - 3:00 PM
Friday: 8:30 AM - 3:00 PM
Saturday: Closed
Sunday: Closed",8.0,1.0,2.0,0.0,0.0
