displayName,rating,userRatingCount,primaryType,placeUri,address,latitude,longitude,weekdayDescriptions,nextCloseTime,neighborhood,nextCloseHour,trueCoffee,5,4,3,2,1,adjustedRating
De Koffieschenkerij,4.7,3208,cafe,https://maps.google.com/?cid=5588248605643341817&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Oudekerksplein 27, 1012 GX Amsterdam, Netherlands",52.3741148,4.898346699999999,"Monday: 9:00 AM - 6:00 PM
Tuesday: 9:00 AM - 6:00 PM
Wednesday: 9:00 AM - 6:00 PM
Thursday: 9:00 AM - 6:00 PM
Friday: 9:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",2025-10-21T16:00:00Z,Amsterdam Centrum,18,1,2662,383,104,20,39,4.726336138801172
Black Gold Amsterdam,4.7,787,coffee_shop,https://maps.google.com/?cid=13817876557388349051&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Korte Koningsstraat 13 H, 1011 EX Amsterdam, Netherlands",52.371787999999995,4.9030432,"Monday: 9:00 AM - 5:00 PM
Tuesday: 9:00 AM - 5:00 PM
Wednesday: 9:00 AM - 5:00 PM
Thursday: 9:00 AM - 5:00 PM
Friday: 9:00 AM - 5:00 PM
Saturday: 10:00 AM - 6:00 PM
Sunday: 10:00 AM - 6:00 PM",2025-10-21T15:00:00Z,Amsterdam Centrum,17,1,672,70,20,5,20,4.682606408
Kafenion Amsterdam,4.9,3144,cafe,https://maps.google.com/?cid=13799867098777125081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Bloemgracht 49, 1016 KD Amsterdam, Netherlands",52.374677,4.8813721999999995,"Monday: 8:00 AM - 7:00 PM
Tuesday: 8:00 AM - 7:00 PM
Wednesday: 8:00 AM - 7:00 PM
Thursday: 8:00 AM - 7:00 PM
Friday: 8:00 AM - 7:00 PM
Saturday: 9:00 AM - 7:30 PM
Sunday: 9:00 AM - 7:30 PM",2025-10-21T17:00:00Z,Amsterdam Centrum,19,1,2880,157,44,34,29,4.832721174343336
LOT61 Coffee Roasters,4.6,1967,food_store,https://maps.google.com/?cid=15526938402491586985&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Kinkerstraat 112, 1053 ED Amsterdam, Netherlands",52.3668272,4.870314,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",2025-10-21T16:00:00Z,Amsterdam Centrum,18,1,1493,314,91,30,39,4.588324557478122
Coffeeshop The Greenhouse Effect Amsterdam,4.4,3580,,https://maps.google.com/?cid=13751898002963946213&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Nieuwmarkt 14, 1012 CR Amsterdam, Netherlands",52.372849,4.899859,"Monday: 8:00 AM - 1:00 AM
Tuesday: 8:00 AM - 1:00 AM
Wednesday: 8:00 AM - 1:00 AM
Thursday: 8:00 AM - 1:00 AM
Friday: 8:00 AM - 1:00 AM
Saturday: 8:00 AM - 1:00 AM
Sunday: 8:00 AM - 1:00 AM",2025-10-21T23:00:00Z,Amsterdam Centrum,1,0,2455,644,250,70,161,4.411687956596221
LOT61 Amsterdam Centraal Station,4.3,826,coffee_shop,https://maps.google.com/?cid=4810359084861603137&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Oosterdoksstraat 4, 1011 DK Amsterdam, Netherlands",52.376894,4.9043325,"Monday: 6:30 AM - 8:00 PM
Tuesday: 6:30 AM - 8:00 PM
Wednesday: 6:30 AM - 8:00 PM
Thursday: 6:30 AM - 8:00 PM
Friday: 6:30 AM - 8:00 PM
Saturday: 7:00 AM - 8:00 PM
Sunday: 7:00 AM - 8:00 PM",2025-10-21T18:00:00Z,Amsterdam Centrum,20,1,569,110,55,37,55,4.256333482718035
Caffè il Momento,4.6,889,coffee_shop,https://maps.google.com/?cid=16136560569487544155&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Singel 180, 1015 AJ Amsterdam, Netherlands",52.374684599999995,4.8890461,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 9:00 AM - 5:00 PM",2025-10-21T16:00:00Z,Amsterdam Centrum,18,1,644,165,44,16,20,4.515107924155414
Bocca Coffee,4.4,1903,coffee_shop,https://maps.google.com/?cid=18188383309989194106&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Kerkstraat 96H, 1017 GP Amsterdam, Netherlands",52.3643905,4.8868164,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",2025-10-21T16:00:00Z,Amsterdam Centrum,18,1,1360,251,98,82,112,4.353448052592076
Quartier Putain,4.5,1211,breakfast_restaurant,https://maps.google.com/?cid=2297549056591729758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Oudekerksplein 4, 1012 GZ Amsterdam, Netherlands",52.3746117,4.898705,"Monday: 9:00 AM - 8:00 PM
Tuesday: 9:00 AM - 8:00 PM
Wednesday: 9:00 AM - 8:00 PM
Thursday: 9:00 AM - 8:00 PM
Friday: 9:00 AM - 1:00 AM
Saturday: 9:00 AM - 1:00 AM
Sunday: 9:00 AM - 12:00 AM",2025-10-21T18:00:00Z,Amsterdam Centrum,20,1,781,289,84,23,34,4.403740478508428
Koffiespot,4.5,606,coffee_shop,https://maps.google.com/?cid=2122484869929095106&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Elandsgracht 53, 1016 TN Amsterdam, Netherlands",52.3694002,4.8805982,"Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",2025-10-21T16:00:00Z,Amsterdam Centrum,18,1,436,101,32,11,26,4.422463804440936
